mold_id,mold_name,product_type,material,designed_life,current_shots,usage_ratio,current_defect_rate,recent_defect_avg,defect_slope,maintenance_count,maintenance_quality,material_factor,load_factor,spc_anomaly_rate,remaining_life,failure_shots
5,EWP 하부 하우징 금형,default,H13,500000,335188,0.67,1.761,1.272,0.2018,4,0.7,1.0,1.0,10.5,0,280000
5,EWP 하부 하우징 금형,default,H13,500000,76144,0.152,0.197,0.254,-0.0385,2,1.3,1.0,1.0,9.4,439856,516000
5,EWP 하부 하우징 금형,default,H13,500000,53498,0.107,0.107,0.216,-0.0282,2,0.71,1.0,1.0,3.1,231502,285000
5,EWP 하부 하우징 금형,default,H13,500000,124254,0.249,0.124,0.123,-0.0116,1,0.98,1.0,1.0,3.1,267246,391500
5,EWP 하부 하우징 금형,default,H13,500000,218311,0.437,0.075,0.117,0.001,5,1.06,1.0,1.0,3.2,204689,423000
5,EWP 하부 하우징 금형,default,H13,500000,470430,0.941,1.433,1.065,0.1759,9,1.04,1.0,1.0,10.6,0,412000
5,EWP 하부 하우징 금형,default,H13,500000,98214,0.196,0.122,0.102,0.0106,2,0.71,1.0,1.0,7.3,183786,282000
5,EWP 하부 하우징 금형,default,H13,500000,454573,0.909,0.808,0.494,0.1861,12,1.21,1.0,1.0,9.9,25427,480000
5,EWP 하부 하우징 금형,default,H13,500000,366437,0.733,1.473,1.064,0.176,7,0.81,1.0,1.0,9.9,0,323500
6,EWP 임펠러 금형,default,NAK80,300000,310433,1.035,1.067,0.674,0.2311,9,1.15,1.1,1.0,8.1,0,303000
6,EWP 임펠러 금형,default,NAK80,300000,110578,0.369,0.044,0.105,-0.0113,3,1.01,1.1,1.0,1.6,156922,267500
6,EWP 임펠러 금형,default,NAK80,300000,85166,0.284,0.043,0.119,-0.0205,3,0.97,1.1,1.0,10.1,169834,255000
6,EWP 임펠러 금형,default,NAK80,300000,289350,0.965,1.036,0.688,0.1986,9,1.09,1.1,1.0,7.6,0,285500
6,EWP 임펠러 금형,default,NAK80,300000,233695,0.779,0.063,0.08,-0.008,7,1.15,1.1,1.0,6.3,69805,303500
6,EWP 임펠러 금형,default,NAK80,300000,241043,0.803,1.706,1.199,0.2199,6,0.79,1.1,1.0,9.6,0,206000
6,EWP 임펠러 금형,default,NAK80,300000,155658,0.519,0.151,0.14,0.0118,4,1.14,1.1,1.0,3.8,142842,298500
6,EWP 임펠러 금형,default,NAK80,300000,188954,0.63,0.087,0.091,0.0014,6,1.19,1.1,1.0,7.0,123046,312000
6,EWP 임펠러 금형,default,NAK80,300000,136334,0.454,0.142,0.122,-0.0025,1,0.7,1.1,1.0,6.2,48666,185000
6,EWP 임펠러 금형,default,NAK80,300000,15636,0.052,0.537,0.543,-0.0036,1,1.01,1.1,1.0,9.3,248864,264500
6,EWP 임펠러 금형,default,NAK80,300000,261151,0.871,1.682,1.23,0.2218,5,0.84,1.1,1.0,10.9,0,220500
6,EWP 임펠러 금형,default,NAK80,300000,140326,0.468,0.094,0.087,-0.0196,4,1.28,1.1,1.0,4.8,194674,335000
6,EWP 임펠러 금형,default,NAK80,300000,167328,0.558,0.099,0.111,-0.0083,3,0.79,1.1,1.0,6.7,40672,208000
6,EWP 임펠러 금형,default,NAK80,300000,79000,0.263,0.15,0.126,-0.0191,0,1.06,1.1,1.0,3.4,200500,279500
6,EWP 임펠러 금형,default,NAK80,300000,170140,0.567,0.067,0.108,-0.0085,6,1.1,1.1,1.0,7.4,118360,288500
6,EWP 임펠러 금형,default,NAK80,300000,291929,0.973,5.022,3.231,0.7758,5,0.72,1.1,1.0,18.0,0,191500
6,EWP 임펠러 금형,default,NAK80,300000,122190,0.407,0.125,0.105,0.004,4,0.84,1.1,1.0,8.6,98810,221000
6,EWP 임펠러 금형,default,NAK80,300000,75322,0.251,0.174,0.191,-0.0079,1,1.21,1.1,1.0,6.7,244178,319500
6,EWP 임펠러 금형,default,NAK80,300000,114009,0.38,0.148,0.113,0.0126,4,1.19,1.1,1.0,6.4,198991,313000
6,EWP 임펠러 금형,default,NAK80,300000,297493,0.992,1.409,1.006,0.1723,12,1.02,1.1,1.0,8.7,0,270500
7,CCH 냉각플레이트 상형,default,SKD11,800000,684979,0.856,0.68,0.238,0.1051,12,1.28,1.0,1.0,9.5,132521,817500
7,CCH 냉각플레이트 상형,default,SKD11,800000,124179,0.155,0.12,0.193,-0.0328,0,1.05,1.0,1.0,5.4,540821,665000
7,CCH 냉각플레이트 상형,default,SKD11,800000,591088,0.739,1.295,0.975,0.1568,5,0.85,1.0,1.0,8.2,0,537500
7,CCH 냉각플레이트 상형,default,SKD11,800000,309666,0.387,0.114,0.099,0.0113,1,0.98,1.0,1.0,2.4,314834,624500
7,CCH 냉각플레이트 상형,default,SKD11,800000,508575,0.636,0.095,0.088,0.0024,4,1.01,1.0,1.0,5.7,131925,640500
7,CCH 냉각플레이트 상형,default,SKD11,800000,201566,0.252,0.121,0.144,-0.0181,1,0.92,1.0,1.0,2.9,381934,583500
7,CCH 냉각플레이트 상형,default,SKD11,800000,439715,0.55,0.741,0.327,0.173,2,0.77,1.0,1.0,9.2,49285,489000
7,CCH 냉각플레이트 상형,default,SKD11,800000,326273,0.408,0.171,0.133,0.0061,3,1.23,1.0,1.0,5.9,456227,782500
7,CCH 냉각플레이트 상형,default,SKD11,800000,775007,0.969,0.839,0.485,0.2203,13,1.29,1.0,1.0,10.7,40493,815500
7,CCH 냉각플레이트 상형,default,SKD11,800000,370439,0.463,0.058,0.092,-0.0021,3,0.91,1.0,1.0,7.8,206061,576500
7,CCH 냉각플레이트 상형,default,SKD11,800000,607211,0.759,1.447,1.034,0.1804,6,0.84,1.0,1.0,8.5,0,534000
7,CCH 냉각플레이트 상형,default,SKD11,800000,601406,0.752,0.852,0.501,0.2246,9,1.0,1.0,1.0,4.5,31094,632500
7,CCH 냉각플레이트 상형,default,SKD11,800000,534702,0.668,0.099,0.094,-0.008,6,1.08,1.0,1.0,4.2,153798,688500
7,CCH 냉각플레이트 상형,default,SKD11,800000,772278,0.965,1.54,1.122,0.1906,8,1.05,1.0,1.0,11.0,0,667500
7,CCH 냉각플레이트 상형,default,SKD11,800000,770508,0.963,0.996,0.657,0.2032,13,1.22,1.0,1.0,6.7,992,771500
7,CCH 냉각플레이트 상형,default,SKD11,800000,230444,0.288,0.176,0.112,0.0036,3,0.77,1.0,1.0,5.2,263056,493500
7,CCH 냉각플레이트 상형,default,SKD11,800000,457849,0.572,1.065,0.707,0.2159,4,0.71,1.0,1.0,7.6,0,452000
7,CCH 냉각플레이트 상형,default,SKD11,800000,370178,0.463,0.054,0.093,-0.0028,5,1.29,1.0,1.0,3.8,449322,819500
7,CCH 냉각플레이트 상형,default,SKD11,800000,597109,0.746,0.127,0.119,-0.0006,9,1.18,1.0,1.0,6.0,151391,748500
7,CCH 냉각플레이트 상형,default,SKD11,800000,472109,0.59,0.078,0.092,-0.0076,4,1.14,1.0,1.0,6.8,252391,724500
8,CCH 냉각플레이트 하형,default,SKD11,800000,681209,0.852,2.424,1.66,0.3321,6,0.83,1.0,1.0,12.6,0,526000
8,CCH 냉각플레이트 하형,default,SKD11,800000,313348,0.392,0.086,0.1,-0.002,3,0.71,1.0,1.0,6.3,139152,452500
8,CCH 냉각플레이트 하형,default,SKD11,800000,281127,0.351,0.103,0.104,0.0048,3,0.92,1.0,1.0,5.9,307873,589000
8,CCH 냉각플레이트 하형,default,SKD11,800000,566930,0.709,1.122,0.852,0.1199,8,0.86,1.0,1.0,9.6,0,546000
8,CCH 냉각플레이트 하형,default,SKD11,800000,714974,0.894,1.729,1.208,0.225,10,0.96,1.0,1.0,9.7,0,611500
8,CCH 냉각플레이트 하형,default,SKD11,800000,77740,0.097,0.271,0.25,0.0113,1,0.73,1.0,1.0,5.5,386760,464500
8,CCH 냉각플레이트 하형,default,SKD11,800000,712841,0.891,1.439,1.06,0.1794,9,0.99,1.0,1.0,9.1,0,630500
8,CCH 냉각플레이트 하형,default,SKD11,800000,44649,0.056,0.335,0.402,-0.0183,2,0.8,1.0,1.0,1.9,460851,505500
8,CCH 냉각플레이트 하형,default,SKD11,800000,530717,0.663,1.099,0.882,0.1175,3,0.8,1.0,1.0,10.2,0,509500
8,CCH 냉각플레이트 하형,default,SKD11,800000,71527,0.089,0.244,0.288,-0.0179,0,0.92,1.0,1.0,6.0,508473,580000
8,CCH 냉각플레이트 하형,default,SKD11,800000,553940,0.692,0.12,0.117,0.0124,8,1.13,1.0,1.0,6.1,168560,722500
8,CCH 냉각플레이트 하형,default,SKD11,800000,824216,1.03,1.927,1.347,0.257,8,1.06,1.0,1.0,10.3,0,679000
8,CCH 냉각플레이트 하형,default,SKD11,800000,219311,0.274,0.219,0.144,0.0196,4,1.17,1.0,1.0,3.9,528689,748000
8,CCH 냉각플레이트 하형,default,SKD11,800000,738636,0.923,0.749,0.424,0.197,9,1.26,1.0,1.0,7.6,60864,799500
8,CCH 냉각플레이트 하형,default,SKD11,800000,50686,0.063,0.426,0.477,-0.0392,0,1.11,1.0,1.0,9.7,656814,707500
8,CCH 냉각플레이트 하형,default,SKD11,800000,567063,0.709,0.704,0.323,0.1647,7,1.01,1.0,1.0,10.7,70937,638000
8,CCH 냉각플레이트 하형,default,SKD11,800000,760770,0.951,0.854,0.596,0.1711,10,1.23,1.0,1.0,4.9,19230,780000
8,CCH 냉각플레이트 하형,default,SKD11,800000,736470,0.921,0.802,0.444,0.2207,13,1.23,1.0,1.0,9.6,43030,779500
8,CCH 냉각플레이트 하형,default,SKD11,800000,442367,0.553,0.12,0.113,-0.0049,7,1.03,1.0,1.0,4.9,216133,658500
8,CCH 냉각플레이트 하형,default,SKD11,800000,418047,0.523,0.063,0.082,0.003,4,1.0,1.0,1.0,2.7,219453,637500
9,CCH 매니폴드 금형,default,H13,600000,301853,0.503,0.062,0.08,0.0006,5,1.17,1.0,1.0,6.0,257647,559500
9,CCH 매니폴드 금형,default,H13,600000,477537,0.796,0.881,0.508,0.2221,9,1.03,1.0,1.0,6.7,16463,494000
9,CCH 매니폴드 금형,default,H13,600000,503684,0.839,1.501,1.116,0.1818,7,0.91,1.0,1.0,7.8,0,434000
9,CCH 매니폴드 금형,default,H13,600000,38935,0.065,0.411,0.426,-0.0051,0,0.99,1.0,1.0,5.8,435065,474000
9,CCH 매니폴드 금형,default,H13,600000,510735,0.851,0.947,0.623,0.1916,10,1.09,1.0,1.0,9.1,11765,522500
9,CCH 매니폴드 금형,default,H13,600000,585521,0.976,2.264,1.541,0.2971,9,0.96,1.0,1.0,10.3,0,459000
9,CCH 매니폴드 금형,default,H13,600000,86769,0.145,0.193,0.245,-0.0319,0,1.08,1.0,1.0,6.2,426731,513500
9,CCH 매니폴드 금형,default,H13,600000,466224,0.777,0.815,0.44,0.2104,6,1.05,1.0,1.0,12.2,37776,504000
9,CCH 매니폴드 금형,default,H13,600000,360207,0.6,0.148,0.089,0.0245,6,1.0,1.0,1.0,5.8,118793,479000
9,CCH 매니폴드 금형,default,H13,600000,96119,0.16,0.089,0.123,-0.003,0,0.73,1.0,1.0,7.0,251381,347500
9,CCH 매니폴드 금형,default,H13,600000,114218,0.19,0.104,0.141,-0.0031,0,0.9,1.0,1.0,3.8,314782,429000
9,CCH 매니폴드 금형,default,H13,600000,108606,0.181,0.147,0.157,-0.0174,3,0.77,1.0,1.0,5.6,259894,368500
9,CCH 매니폴드 금형,default,H13,600000,147277,0.245,0.162,0.135,0.0265,4,1.06,1.0,1.0,3.5,360223,507500
9,CCH 매니폴드 금형,default,H13,600000,509807,0.85,2.426,1.674,0.3372,4,0.82,1.0,1.0,10.4,0,391500
9,CCH 매니폴드 금형,default,H13,600000,262354,0.437,0.058,0.121,-0.0236,1,0.85,1.0,1.0,4.8,142646,405000
9,CCH 매니폴드 금형,default,H13,600000,336356,0.561,0.049,0.084,0.0014,4,0.99,1.0,1.0,4.0,133144,469500
9,CCH 매니폴드 금형,default,H13,600000,268288,0.447,0.179,0.105,0.017,1,0.77,1.0,1.0,3.5,97712,366000
9,CCH 매니폴드 금형,default,H13,600000,299524,0.499,0.031,0.098,-0.0295,6,1.16,1.0,1.0,4.3,255476,555000
9,CCH 매니폴드 금형,default,H13,600000,98828,0.165,0.194,0.186,-0.0244,3,1.03,1.0,1.0,4.2,389672,488500
9,CCH 매니폴드 금형,default,H13,600000,324095,0.54,0.111,0.095,0.0182,2,0.83,1.0,1.0,3.2,73405,397500
10,OBC 상부케이스 금형,default,SKD11,1000000,120043,0.12,0.336,0.329,-0.0089,1,1.21,1.0,1.0,6.8,844957,965000
10,OBC 상부케이스 금형,default,SKD11,1000000,537692,0.538,0.125,0.101,0.0148,4,1.26,1.0,1.0,4.8,458308,996000
10,OBC 상부케이스 금형,default,SKD11,1000000,631316,0.631,1.215,0.905,0.1443,6,0.75,1.0,1.0,8.3,0,593000
10,OBC 상부케이스 금형,default,SKD11,1000000,539262,0.539,0.108,0.099,0.0211,2,0.86,1.0,1.0,3.6,142238,681500
10,OBC 상부케이스 금형,default,SKD11,1000000,983826,0.984,1.527,1.117,0.179,8,1.08,1.0,1.0,11.5,0,860500
10,OBC 상부케이스 금형,default,SKD11,1000000,780104,0.78,0.888,0.522,0.2323,6,1.01,1.0,1.0,10.5,27896,808000
10,OBC 상부케이스 금형,default,SKD11,1000000,818656,0.819,0.98,0.659,0.2147,10,1.04,1.0,1.0,6.1,2844,821500
10,OBC 상부케이스 금형,default,SKD11,1000000,529139,0.529,0.06,0.084,-0.0352,3,0.99,1.0,1.0,1.3,257361,786500
10,OBC 상부케이스 금형,default,SKD11,1000000,214550,0.215,0.179,0.16,0.0037,2,1.2,1.0,1.0,8.6,735450,950000
10,OBC 상부케이스 금형,default,SKD11,1000000,846915,0.847,1.88,1.351,0.2432,9,0.87,1.0,1.0,10.9,0,691500
10,OBC 상부케이스 금형,default,SKD11,1000000,246005,0.246,0.119,0.165,-0.0012,2,1.13,1.0,1.0,6.8,644995,891000
10,OBC 상부케이스 금형,default,SKD11,1000000,432653,0.433,0.121,0.106,-0.0066,5,0.75,1.0,1.0,6.2,169347,602000
10,OBC 상부케이스 금형,default,SKD11,1000000,220612,0.221,0.128,0.135,-0.0191,0,0.95,1.0,1.0,4.9,528888,749500
10,OBC 상부케이스 금형,default,SKD11,1000000,842422,0.842,4.41,2.886,0.6714,7,0.71,1.0,1.0,19.4,0,564000
10,OBC 상부케이스 금형,default,SKD11,1000000,516921,0.517,0.084,0.105,-0.0196,3,0.94,1.0,1.0,3.8,231079,748000
10,OBC 상부케이스 금형,default,SKD11,1000000,963900,0.964,6.557,4.138,1.073,6,0.75,1.0,1.0,23.5,0,593500
10,OBC 상부케이스 금형,default,SKD11,1000000,367826,0.368,0.091,0.081,-0.0074,1,0.86,1.0,1.0,6.3,315674,683500
10,OBC 상부케이스 금형,default,SKD11,1000000,924357,0.924,1.738,1.243,0.2182,11,0.98,1.0,1.0,6.9,0,776000
10,OBC 상부케이스 금형,default,SKD11,1000000,93559,0.094,0.42,0.418,-0.0002,0,1.29,1.0,1.0,6.7,928441,1022000
10,OBC 상부케이스 금형,default,SKD11,1000000,724074,0.724,1.268,0.944,0.1462,8,0.85,1.0,1.0,11.4,0,675500
11,OBC 하부케이스 금형,default,SKD11,1000000,1012858,1.013,2.861,1.942,0.3884,7,0.94,1.0,1.0,13.5,0,748500
11,OBC 하부케이스 금형,default,SKD11,1000000,636768,0.637,1.131,0.828,0.1468,4,0.77,1.0,1.0,6.5,0,608500
11,OBC 하부케이스 금형,default,SKD11,1000000,1016657,1.017,1.94,1.361,0.2582,9,1.04,1.0,1.0,11.0,0,829500
11,OBC 하부케이스 금형,default,SKD11,1000000,554936,0.555,0.076,0.137,-0.0221,5,1.07,1.0,1.0,6.9,293564,848500
11,OBC 하부케이스 금형,default,SKD11,1000000,417175,0.417,0.126,0.109,-0.0016,2,0.86,1.0,1.0,3.5,266825,684000
11,OBC 하부케이스 금형,default,SKD11,1000000,526829,0.527,0.688,0.205,0.1283,2,0.78,1.0,1.0,7.9,95171,622000
11,OBC 하부케이스 금형,default,SKD11,1000000,62047,0.062,0.522,0.485,0.0125,1,1.12,1.0,1.0,5.8,829953,892000
11,OBC 하부케이스 금형,default,SKD11,1000000,918325,0.918,1.876,1.321,0.2401,7,0.95,1.0,1.0,11.2,0,755000
11,OBC 하부케이스 금형,default,SKD11,1000000,825116,0.825,0.708,0.229,0.119,11,1.23,1.0,1.0,5.3,150884,976000
11,OBC 하부케이스 금형,default,SKD11,1000000,622649,0.623,0.073,0.076,-0.0037,7,1.04,1.0,1.0,10.0,206351,829000
11,OBC 하부케이스 금형,default,SKD11,1000000,458210,0.458,0.095,0.107,-0.0109,3,1.26,1.0,1.0,4.1,542290,1000500
11,OBC 하부케이스 금형,default,SKD11,1000000,731547,0.732,0.099,0.127,-0.0213,8,1.24,1.0,1.0,7.6,250453,982000
11,OBC 하부케이스 금형,default,SKD11,1000000,851481,0.851,1.854,1.326,0.2198,7,0.88,1.0,1.0,10.8,0,702500
11,OBC 하부케이스 금형,default,SKD11,1000000,739700,0.74,0.109,0.097,0.0016,10,1.15,1.0,1.0,6.5,174800,914500
11,OBC 하부케이스 금형,default,SKD11,1000000,745808,0.746,0.048,0.079,0.0025,7,1.3,1.0,1.0,6.6,287192,1033000
11,OBC 하부케이스 금형,default,SKD11,1000000,270221,0.27,0.051,0.079,-0.0097,3,0.74,1.0,1.0,7.4,320279,590500
11,OBC 하부케이스 금형,default,SKD11,1000000,774445,0.774,2.992,2.05,0.4093,6,0.71,1.0,1.0,17.0,0,566500
11,OBC 하부케이스 금형,default,SKD11,1000000,200890,0.201,0.154,0.175,-0.003,2,1.12,1.0,1.0,4.9,690610,891500
11,OBC 하부케이스 금형,default,SKD11,1000000,696378,0.696,0.05,0.101,-0.0172,7,1.15,1.0,1.0,4.0,214122,910500
11,OBC 하부케이스 금형,default,SKD11,1000000,326033,0.326,0.103,0.119,-0.0096,1,0.97,1.0,1.0,6.2,443967,770000
12,BMS 브라켓 금형,default,SKD61,1200000,312448,0.26,0.105,0.141,-0.0004,3,0.92,1.15,1.0,3.1,701552,1014000
12,BMS 브라켓 금형,default,SKD61,1200000,306423,0.255,0.074,0.15,-0.0146,1,0.88,1.15,1.0,4.0,659077,965500
12,BMS 브라켓 금형,default,SKD61,1200000,125361,0.104,0.256,0.345,-0.0316,0,1.06,1.15,1.0,3.7,1035139,1160500
12,BMS 브라켓 금형,default,SKD61,1200000,226668,0.189,0.228,0.196,0.0091,3,1.08,1.15,1.0,7.0,957332,1184000
12,BMS 브라켓 금형,default,SKD61,1200000,128788,0.107,0.329,0.375,-0.024,0,1.11,1.15,1.0,6.3,1090212,1219000
12,BMS 브라켓 금형,default,SKD61,1200000,61642,0.051,0.471,0.546,-0.0275,2,1.01,1.15,1.0,4.3,1045358,1107000
12,BMS 브라켓 금형,default,SKD61,1200000,334890,0.279,0.133,0.137,0.0093,5,1.09,1.15,1.0,8.8,855610,1190500
12,BMS 브라켓 금형,default,SKD61,1200000,1106649,0.922,1.751,1.246,0.2191,5,0.84,1.15,1.0,11.0,0,929500
12,BMS 브라켓 금형,default,SKD61,1200000,883698,0.736,0.135,0.114,0.0066,7,1.1,1.15,1.0,6.5,318302,1202000
12,BMS 브라켓 금형,default,SKD61,1200000,858442,0.715,0.705,0.351,0.1698,4,0.89,1.15,1.0,1.3,109558,968000
12,BMS 브라켓 금형,default,SKD61,1200000,1113565,0.928,0.623,0.183,0.1142,12,1.22,1.15,1.0,11.1,224435,1338000
12,BMS 브라켓 금형,default,SKD61,1200000,521303,0.434,0.156,0.098,0.0147,3,1.11,1.15,1.0,7.3,699697,1221000
12,BMS 브라켓 금형,default,SKD61,1200000,748781,0.624,0.133,0.113,0.0046,9,1.29,1.15,1.0,3.0,668219,1417000
12,BMS 브라켓 금형,default,SKD61,1200000,1067333,0.889,2.2,1.528,0.3,7,0.77,1.15,1.0,10.6,0,843000
12,BMS 브라켓 금형,default,SKD61,1200000,713628,0.595,0.118,0.098,0.0084,8,1.13,1.15,1.0,3.7,519872,1233500
12,BMS 브라켓 금형,default,SKD61,1200000,1221955,1.018,3.065,2.077,0.4481,7,0.81,1.15,1.0,16.6,0,886500
12,BMS 브라켓 금형,default,SKD61,1200000,1114841,0.929,3.781,2.495,0.5528,8,0.71,1.15,1.0,16.3,0,777000
12,BMS 브라켓 금형,default,SKD61,1200000,675931,0.563,0.054,0.076,-0.0147,4,1.15,1.15,1.0,3.4,587569,1263500
12,BMS 브라켓 금형,default,SKD61,1200000,947534,0.79,0.968,0.643,0.1942,4,0.88,1.15,1.0,6.4,9966,957500
12,BMS 브라켓 금형,default,SKD61,1200000,968369,0.807,0.831,0.457,0.2177,6,0.97,1.15,1.0,8.0,89631,1058000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,561646,0.936,4.779,3.095,0.7431,8,0.77,1.0,1.0,20.7,0,370000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,41269,0.069,0.315,0.305,0.0003,0,0.7,1.0,1.0,7.1,294231,335500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,620912,1.035,5.176,3.304,0.8212,9,0.84,1.0,1.0,21.2,0,404000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,171807,0.286,0.18,0.145,0.0084,2,1.26,1.0,1.0,7.1,427193,599000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,414302,0.691,1.659,1.219,0.2154,3,0.73,1.0,1.0,7.9,0,350500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,594489,0.991,4.34,2.827,0.6672,6,0.84,1.0,1.0,18.4,0,399500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,248243,0.414,0.127,0.106,0.0154,6,1.13,1.0,1.0,2.9,290757,539000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,455419,0.759,0.845,0.468,0.215,8,1.03,1.0,1.0,7.4,38581,494000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,303071,0.505,0.14,0.099,-0.0034,5,0.92,1.0,1.0,4.6,135429,438500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,577425,0.962,1.502,1.114,0.1825,9,1.05,1.0,1.0,10.4,0,503000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,273666,0.456,0.093,0.064,-0.0085,1,0.76,1.0,1.0,9.6,87834,361500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,622920,1.038,9.362,5.727,1.5601,8,0.75,1.0,1.0,34.1,0,357500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,497817,0.83,1.345,0.948,0.1467,8,0.96,1.0,1.0,7.1,0,457000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,69020,0.115,0.259,0.315,-0.0182,2,1.25,1.0,1.0,4.6,526480,595500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,266059,0.443,0.145,0.069,0.0223,6,1.14,1.0,1.0,0.5,280941,547000
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,347744,0.58,0.627,0.316,0.1691,6,0.83,1.0,1.0,12.3,46756,394500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,299333,0.499,0.07,0.11,0.0071,7,1.12,1.0,1.0,8.0,234167,533500
13,프론트 범퍼빔 1공정 금형,default,SKD11,600000,114212,0.19,0.163,0.158,0.0052,2,1.22,1.0,1.0,6.5,465288,579500
