code,name_ko,name_en,unit,sex,age_min,age_max,rda,ai,ear,ul,is_pregnant,is_lactating
iodine_ug,요오드,Iodine,μg,female,19,200,340,,290,,false,true
copper_mg,구리,Copper,mg,male,19,200,0.85,,0.7,10,false,false
copper_mg,구리,Copper,mg,female,19,200,0.65,,0.55,10,false,false
manganese_mg,망간,Manganese,mg,male,19,200,,4.0,,11,false,false
manganese_mg,망간,Manganese,mg,female,19,200,,3.5,,11,false,false
chromium_ug,크롬,Chromium,μg,male,19,200,,30,,,false,false
chromium_ug,크롬,Chromium,μg,female,19,200,,20,,,false,false
molybdenum_ug,몰리브덴,Molybdenum,μg,male,19,200,30,,25,600,false,false
molybdenum_ug,몰리브덴,Molybdenum,μg,female,19,200,25,,20,500,false,false
phosphorus_mg,인,Phosphorus,mg,male,19,200,700,,580,3500,false,false
phosphorus_mg,인,Phosphorus,mg,female,19,200,700,,580,3500,false,false
potassium_mg,칼륨,Potassium,mg,male,19,200,,3500,,,false,false
potassium_mg,칼륨,Potassium,mg,female,19,200,,3500,,,false,false
omega3_dha_mg,오메가-3 DHA,Omega-3 DHA,mg,male,19,200,,500,,,false,false
omega3_dha_mg,오메가-3 DHA,Omega-3 DHA,mg,female,19,200,,500,,,false,false
omega3_epa_mg,오메가-3 EPA,Omega-3 EPA,mg,male,19,200,,500,,,false,false
omega3_epa_mg,오메가-3 EPA,Omega-3 EPA,mg,female,19,200,,500,,,false,false
lutein_zeaxanthin_mg,루테인+지아잔틴,Lutein + Zeaxanthin,mg,male,19,200,,10,,20,false,false
lutein_zeaxanthin_mg,루테인+지아잔틴,Lutein + Zeaxanthin,mg,female,19,200,,10,,20,false,false
milk_thistle_mg,밀크씨슬,Milk Thistle,mg,male,19,200,,130,,,false,false
milk_thistle_mg,밀크씨슬,Milk Thistle,mg,female,19,200,,130,,,false,false
coq10_mg,코엔자임 Q10,Coenzyme Q10,mg,male,19,200,,90,,,false,false
coq10_mg,코엔자임 Q10,Coenzyme Q10,mg,female,19,200,,90,,,false,false
