sample,value,unit,part_number,process
64,25.0276,mm,AJ-EWP-H100,EWP 하우징 내경
65,25.0009,mm,AJ-EWP-H100,EWP 하우징 내경
66,25.0162,mm,AJ-EWP-H100,EWP 하우징 내경
67,25.014,mm,AJ-EWP-H100,EWP 하우징 내경
68,24.9683,mm,AJ-EWP-H100,EWP 하우징 내경
69,24.9837,mm,AJ-EWP-H100,EWP 하우징 내경
70,24.9744,mm,AJ-EWP-H100,EWP 하우징 내경
71,24.9746,mm,AJ-EWP-H100,EWP 하우징 내경
72,24.9799,mm,AJ-EWP-H100,EWP 하우징 내경
73,24.9927,mm,AJ-EWP-H100,EWP 하우징 내경
74,24.9816,mm,AJ-EWP-H100,EWP 하우징 내경
75,24.9812,mm,AJ-EWP-H100,EWP 하우징 내경
76,25.0192,mm,AJ-EWP-H100,EWP 하우징 내경
77,25.0024,mm,AJ-EWP-H100,EWP 하우징 내경
78,25.001,mm,AJ-EWP-H100,EWP 하우징 내경
79,25.0196,mm,AJ-EWP-H100,EWP 하우징 내경
80,25.0009,mm,AJ-EWP-H100,EWP 하우징 내경
81,25.011,mm,AJ-EWP-H100,EWP 하우징 내경
82,25.0022,mm,AJ-EWP-H100,EWP 하우징 내경
83,24.9845,mm,AJ-EWP-H100,EWP 하우징 내경
84,25.0014,mm,AJ-EWP-H100,EWP 하우징 내경
85,24.9917,mm,AJ-EWP-H100,EWP 하우징 내경
86,24.9957,mm,AJ-EWP-H100,EWP 하우징 내경
87,25.0152,mm,AJ-EWP-H100,EWP 하우징 내경
88,25.0103,mm,AJ-EWP-H100,EWP 하우징 내경
89,25.0027,mm,AJ-EWP-H100,EWP 하우징 내경
90,24.9968,mm,AJ-EWP-H100,EWP 하우징 내경
91,25.0188,mm,AJ-EWP-H100,EWP 하우징 내경
92,25.0075,mm,AJ-EWP-H100,EWP 하우징 내경
93,25.0056,mm,AJ-EWP-H100,EWP 하우징 내경
94,25.0145,mm,AJ-EWP-H100,EWP 하우징 내경
95,24.9752,mm,AJ-EWP-H100,EWP 하우징 내경
96,25.0059,mm,AJ-EWP-H100,EWP 하우징 내경
97,25.0035,mm,AJ-EWP-H100,EWP 하우징 내경
98,24.9955,mm,AJ-EWP-H100,EWP 하우징 내경
99,25.0055,mm,AJ-EWP-H100,EWP 하우징 내경
100,25.0005,mm,AJ-EWP-H100,EWP 하우징 내경
101,24.9881,mm,AJ-EWP-H100,EWP 하우징 내경
102,25.008,mm,AJ-EWP-H100,EWP 하우징 내경
103,25.0004,mm,AJ-EWP-H100,EWP 하우징 내경
104,25.0007,mm,AJ-EWP-H100,EWP 하우징 내경
105,25.0022,mm,AJ-EWP-H100,EWP 하우징 내경
106,24.99,mm,AJ-EWP-H100,EWP 하우징 내경
107,25.0038,mm,AJ-EWP-H100,EWP 하우징 내경
108,24.9819,mm,AJ-EWP-H100,EWP 하우징 내경
109,25.0009,mm,AJ-EWP-H100,EWP 하우징 내경
110,25.0043,mm,AJ-EWP-H100,EWP 하우징 내경
111,24.9984,mm,AJ-EWP-H100,EWP 하우징 내경
112,25.0037,mm,AJ-EWP-H100,EWP 하우징 내경
113,24.9958,mm,AJ-EWP-H100,EWP 하우징 내경
114,24.9992,mm,AJ-EWP-H100,EWP 하우징 내경
115,25.0043,mm,AJ-EWP-H100,EWP 하우징 내경
116,25.002,mm,AJ-EWP-H100,EWP 하우징 내경
117,25.0152,mm,AJ-EWP-H100,EWP 하우징 내경
118,24.9373,mm,AJ-EWP-H100,EWP 하우징 내경
119,24.9855,mm,AJ-EWP-H100,EWP 하우징 내경
120,25.0081,mm,AJ-EWP-H100,EWP 하우징 내경
121,25.0056,mm,AJ-EWP-H100,EWP 하우징 내경
122,25.0191,mm,AJ-EWP-H100,EWP 하우징 내경
123,24.995,mm,AJ-EWP-H100,EWP 하우징 내경
124,24.9907,mm,AJ-EWP-H100,EWP 하우징 내경
125,25.0125,mm,AJ-EWP-H100,EWP 하우징 내경
126,25.0061,mm,AJ-EWP-H100,EWP 하우징 내경
127,25.0078,mm,AJ-EWP-H100,EWP 하우징 내경
128,25.0039,mm,AJ-EWP-H100,EWP 하우징 내경
129,25.0189,mm,AJ-EWP-H100,EWP 하우징 내경
130,24.9825,mm,AJ-EWP-H100,EWP 하우징 내경
131,25.0098,mm,AJ-EWP-H100,EWP 하우징 내경
132,24.9831,mm,AJ-EWP-H100,EWP 하우징 내경
133,24.9991,mm,AJ-EWP-H100,EWP 하우징 내경
134,24.9987,mm,AJ-EWP-H100,EWP 하우징 내경
135,24.9847,mm,AJ-EWP-H100,EWP 하우징 내경
136,24.9746,mm,AJ-EWP-H100,EWP 하우징 내경
137,25.0124,mm,AJ-EWP-H100,EWP 하우징 내경
138,25.0099,mm,AJ-EWP-H100,EWP 하우징 내경
139,24.9983,mm,AJ-EWP-H100,EWP 하우징 내경
140,24.9917,mm,AJ-EWP-H100,EWP 하우징 내경
141,24.9729,mm,AJ-EWP-H100,EWP 하우징 내경
142,25.002,mm,AJ-EWP-H100,EWP 하우징 내경
143,24.9373,mm,AJ-EWP-H100,EWP 하우징 내경
144,25.0047,mm,AJ-EWP-H100,EWP 하우징 내경
145,24.9985,mm,AJ-EWP-H100,EWP 하우징 내경
146,25.0205,mm,AJ-EWP-H100,EWP 하우징 내경
147,25.0049,mm,AJ-EWP-H100,EWP 하우징 내경
148,25.0003,mm,AJ-EWP-H100,EWP 하우징 내경
149,24.9772,mm,AJ-EWP-H100,EWP 하우징 내경
150,24.9933,mm,AJ-EWP-H100,EWP 하우징 내경
151,25.0075,mm,AJ-EWP-H100,EWP 하우징 내경
152,25.0077,mm,AJ-EWP-H100,EWP 하우징 내경
153,25.0172,mm,AJ-EWP-H100,EWP 하우징 내경
154,24.9794,mm,AJ-EWP-H100,EWP 하우징 내경
155,25.0174,mm,AJ-EWP-H100,EWP 하우징 내경
156,25.0131,mm,AJ-EWP-H100,EWP 하우징 내경
157,24.9947,mm,AJ-EWP-H100,EWP 하우징 내경
158,24.995,mm,AJ-EWP-H100,EWP 하우징 내경
159,25.0226,mm,AJ-EWP-H100,EWP 하우징 내경
160,25.0627,mm,AJ-EWP-H100,EWP 하우징 내경
161,25.0026,mm,AJ-EWP-H100,EWP 하우징 내경
162,24.9874,mm,AJ-EWP-H100,EWP 하우징 내경
163,25.0001,mm,AJ-EWP-H100,EWP 하우징 내경
164,25.0074,mm,AJ-EWP-H100,EWP 하우징 내경
165,25.0137,mm,AJ-EWP-H100,EWP 하우징 내경
166,25.0034,mm,AJ-EWP-H100,EWP 하우징 내경
167,24.9864,mm,AJ-EWP-H100,EWP 하우징 내경
168,25.0188,mm,AJ-EWP-H100,EWP 하우징 내경
169,24.9932,mm,AJ-EWP-H100,EWP 하우징 내경
170,24.9893,mm,AJ-EWP-H100,EWP 하우징 내경
171,25.0017,mm,AJ-EWP-H100,EWP 하우징 내경
172,24.9885,mm,AJ-EWP-H100,EWP 하우징 내경
173,25.0627,mm,AJ-EWP-H100,EWP 하우징 내경
174,24.9907,mm,AJ-EWP-H100,EWP 하우징 내경
175,25.0096,mm,AJ-EWP-H100,EWP 하우징 내경
176,24.9977,mm,AJ-EWP-H100,EWP 하우징 내경
177,24.9985,mm,AJ-EWP-H100,EWP 하우징 내경
178,24.9892,mm,AJ-EWP-H100,EWP 하우징 내경
179,24.9877,mm,AJ-EWP-H100,EWP 하우징 내경
180,25.0108,mm,AJ-EWP-H100,EWP 하우징 내경
181,25.0286,mm,AJ-EWP-H100,EWP 하우징 내경
182,25.0003,mm,AJ-EWP-H100,EWP 하우징 내경
183,24.9991,mm,AJ-EWP-H100,EWP 하우징 내경
184,24.9813,mm,AJ-EWP-H100,EWP 하우징 내경
185,24.9942,mm,AJ-EWP-H100,EWP 하우징 내경
186,24.9904,mm,AJ-EWP-H100,EWP 하우징 내경
187,24.998,mm,AJ-EWP-H100,EWP 하우징 내경
188,24.9896,mm,AJ-EWP-H100,EWP 하우징 내경
189,24.9914,mm,AJ-EWP-H100,EWP 하우징 내경
190,25.006,mm,AJ-EWP-H100,EWP 하우징 내경
191,25.0175,mm,AJ-EWP-H100,EWP 하우징 내경
192,24.9931,mm,AJ-EWP-H100,EWP 하우징 내경
193,25.0627,mm,AJ-EWP-H100,EWP 하우징 내경
194,25.015,mm,AJ-EWP-H100,EWP 하우징 내경
195,25.0038,mm,AJ-EWP-H100,EWP 하우징 내경
196,24.9833,mm,AJ-EWP-H100,EWP 하우징 내경
197,24.9932,mm,AJ-EWP-H100,EWP 하우징 내경
198,24.9866,mm,AJ-EWP-H100,EWP 하우징 내경
199,24.9984,mm,AJ-EWP-H100,EWP 하우징 내경
200,24.9817,mm,AJ-EWP-H100,EWP 하우징 내경
